extension_nm,force_pN
-10.281814,1.9498247
-10.387027,1.9493535
-10.310637,1.9482412
-10.583786,1.9497087
-10.763077,1.9487821
-10.77222,1.9499066
-10.644622,1.9482725
-10.899641,1.9485724
-11.089021,1.9514831
-11.138421,1.951299
-11.297713,1.9471875
-11.12147,1.9487113
-11.040313,1.9504341
-11.137776,1.9503697
-11.194165,1.949036
-11.459282,1.9517117
-11.531711,1.9495882
-11.712017,1.9470423
-12.124461,1.9468392
-12.519676,1.9513487
-12.720826,1.9521374
-12.71841,1.9493158
-12.658644,1.9484702
-12.262184,1.9513311
-12.193594,1.9507399
-12.376434,1.9465029
-12.476605,1.9458423
-12.458391,1.9520627
-12.267025,1.948807
-11.899188,1.94649
-11.63211,1.9470552
-11.543114,1.949176
-11.669259,1.9464891
-11.30137,1.9505161
-11.162959,1.9518212
-10.927925,1.9512169
-10.794001,1.9480582
-11.00065,1.9500972
-11.165268,1.9500346
-11.303491,1.9505225
-11.272202,1.9479865
-10.904896,1.9479691
-11.132706,1.9472564
-10.968761,1.9521964
-10.695977,1.9491621
-10.267521,1.949913
-10.141728,1.9507132
-10.108616,1.9524627
-10.149844,1.9531891
-9.9627228,1.9499637
-9.8109903,1.9494805
-9.6395121,1.9501607
-9.5422745,1.9501284
-9.5495501,1.9473337
-9.4875984,1.9480187
-9.7160788,1.9523096
-9.9028807,1.9491493
-10.507758,1.9499315
-10.346189,1.9494749
-9.8493633,1.9507509
-9.4375734,1.9486543
-9.7282543,1.9483691
-9.3598356,1.9499389
-9.2190208,1.9505676
-9.3857307,1.9480766
-9.5580683,1.9518083
-9.583437,1.9507011
-9.3413372,1.950599
-9.2802153,1.949995
-9.1015234,1.9490738
-9.1550407,1.9524304
-9.2417068,1.9488521
-9.1070366,1.9487187
-9.1985989,1.9492698
-9.5080967,1.950529
-9.9938717,1.9470488
-9.9768581,1.9496903
-9.9039145,1.9476757
-9.9609404,1.9491621
-9.815733,1.950727
-9.6776028,1.9470359
-9.3642683,1.9469403
-9.260004,1.9505492
-9.4005365,1.9497851
-9.4372711,1.9492891
-9.4211588,1.9498937
-9.394145,1.9489845
-9.3089085,1.9478862
-9.2045498,1.9456209
-9.3630514,1.9539711
-9.3222151,1.9491243
-9.7149954,1.950052
-9.5028887,1.9485338
-9.2727432,1.9497539
-9.1480503,1.9478164
-8.9871273,1.951579
-9.4377232,1.9486229
-10.024609,1.9486479
-10.117453,1.9471241
-10.27561,1.9480702
-10.542821,1.9517503
-10.787618,1.9513873
-11.038416,1.9497732
